place_id,place_name,category,location,avg_rating,price_level,crowd_level,best_time,family_friendly,tags
43,Giri Manjas,Restaurant,Mangalore,4.0,High,High,Anytime,Yes,"restaurant, quiet, cozy, relaxing"
44,Machali,Restaurant,Mangalore,4.8,High,High,Anytime,Yes,"restaurant, quiet, cozy, relaxing"
45,Hotel Narayana,Restaurant,Mangalore,4.6,High,High,Anytime,Yes,"restaurant, modern, stylish, ambience"
46,Maharaja Restaurant,Restaurant,Mangalore,4.0,Medium,Medium,Anytime,Yes,"restaurant, seafood, fresh, coastal"
47,Shetty Lunch Home,Restaurant,Mangalore,3.9,Medium,Medium,Anytime,Yes,"restaurant, modern, stylish, ambience"
48,Pallkhi Restaurant,Restaurant,Mangalore,3.2,Medium,Medium,Anytime,Yes,"restaurant, veg, healthy, light"
49,Village Restaurant,Restaurant,Mangalore,3.0,Medium,Low,Anytime,Yes,"restaurant, fast_food, quick, snacks"
50,Naivedyam,Restaurant,Mangalore,2.9,Low,Medium,Anytime,Yes,"restaurant, modern, stylish, ambience"
51,Kudla Restaurant,Restaurant,Mangalore,3.5,Low,Medium,Anytime,Yes,"restaurant, quiet, cozy, relaxing"
52,Ocean Pearl Restaurant,Restaurant,Mangalore,3.8,Medium,Medium,Anytime,Yes,"restaurant, veg, healthy, light"
53,Brick House Restaurant,Restaurant,Mangalore,4.0,Medium,Medium,Anytime,Yes,"restaurant, fast_food, quick, snacks"
54,Sizzler Ranch,Restaurant,Mangalore,4.2,Medium,Low,Anytime,Yes,"restaurant, veg, healthy, light"
55,Asian Patio,Restaurant,Mangalore,4.4,Medium,Low,Anytime,Yes,"restaurant, quiet, cozy, relaxing"
56,Hao Ming,Restaurant,Mangalore,4.1,Medium,Low,Anytime,Yes,"restaurant, seafood, fresh, coastal"
57,Juice Romantic,Restaurant,Mangalore,4.0,Medium,Low,Anytime,Yes,"restaurant, luxury, fine_dining, premium"
58,Natural Ice Cream,Restaurant,Mangalore,5.0,Low,Medium,Anytime,Yes,"restaurant, quiet, cozy, relaxing"
59,Diesel Cafe Kitchen ,Restaurant,Mangalore,2.5,Low,Low,Anytime,Yes,"restaurant, modern, stylish, ambience"
60,Coffee Break Food Court,Restaurant,Mangalore,3.0,Low,Medium,Anytime,Yes,"restaurant, seafood, fresh, coastal"
61,Kadri Park,Park,Mangalore,4.5,Medium,Medium,"Morning,Evening",Yes,"park, photography, scenic, view"
62,Pilikula Nisargadhama,Park,Mangalore,4.6,Medium,Medium,"Morning,Evening",Yes,"park, evening, sunset, relax"
63,Tagore Park,Park,Mangalore,4.0,Low,Low,"Morning,Evening",Yes,"park, photography, scenic, view"
64,Mahatma Gandhi Park,Park,Mangalore,4.3,Medium,Medium,"Morning,Evening",Yes,"park, clean, maintained, safe"
65,Sultan Ba ery Garden,Park,Mangalore,3.9,Low,Low,"Morning,Evening",Yes,"park, crowded, popular, busy"
66,Pilikula Zoo Park,Park,Mangalore,3.5,Medium,High,"Morning,Evening",Yes,"park, quiet, nature, calm"
67,Pilikula Lake Park,Park,Mangalore,3.6,Medium,Low,"Morning,Evening",Yes,"park, kids, play, family"
68,Tannirbhavi Tree Park,Park,Mangalore,4.0,Low,Low,"Morning,Evening",Yes,"park, clean, maintained, safe"
69,Mangala Stadium Park,Park,Mangalore,4.7,Low,Medium,"Morning,Evening",Yes,"park, picnic, outing, friends"
70,Gujjarakere Park,Park,Mangalore,4.6,Medium,Low,"Morning,Evening",Yes,"park, evening, sunset, relax"
71,Kadri Hill Park,Park,Mangalore,4.0,Medium,Medium,"Morning,Evening",Yes,"park, open_space, fresh_air, relax"
72,Bolar Park Area,Park,Mangalore,5.0,Low,Medium,"Morning,Evening",Yes,"park, clean, maintained, safe"
73,Ullal River Park,Park,Mangalore,5.0,Low,Low,"Morning,Evening",Yes,"park, morning, fresh, calm"
74,Panambur Beach Park ,Park,Mangalore,4.8,Medium,Medium,"Morning,Evening",Yes,"park, clean, maintained, safe"
75,Surathkal Beach Park ,Park,Mangalore,4.9,Medium,High,"Morning,Evening",Yes,"park, photography, scenic, view"
76,NITK Green Campus ,Park,Mangalore,3.5,Low,Low,"Morning,Evening",Yes,"park, walking, jogging, health"
77,Kulai Mangrove Park ,Park,Mangalore,4.0,Medium,Medium,"Morning,Evening",Yes,"park, evening, sunset, relax"
78,City Local Park Lalbagh Area ,Park,Mangalore,5.0,Medium,Medium,"Morning,Evening",Yes,"park, open_space, fresh_air, relax"
79,Bejai Park ,Park,Mangalore,4.5,Low,Low,"Morning,Evening",Yes,"park, greenery, relax, peaceful"
80,Bondel Park ,Park,Mangalore,4.6,Medium,Low,"Morning,Evening",Yes,"park, evening, sunset, relax"
81,City Centre Mall ,Mall,Mangalore,4.9,High,High,Anytime,Yes,"mall, fashion, trendy, shopping"
82,Forum Fiza Mall ,Mall,Mangalore,5.0,High,High,Anytime,Yes,"mall, modern, stylish, ambience"
83,Bharath Mall ,Mall,Mangalore,4.5,High,High,Anytime,Yes,"mall, crowded, popular, busy"
84,Empire Mall ,Mall,Mangalore,4.5,High,Medium,Anytime,Yes,"mall, clean, spacious, comfort"
85,Attavar Shopping Complex ,Mall,Mangalore,4.0,Medium,Medium,Anytime,Yes,"mall, family, outing, weekend"
86,Kankanady Market Complex,Mall,Mangalore,3.9,Medium,Medium,Anytime,Yes,"mall, crowded, popular, busy"
87,Central Market Mangalore ,Mall,Mangalore,3.5,Low,High,Anytime,Yes,"mall, shopping, entertainment, fun"
88,KS Rao Road Shopping Area ,Mall,Mangalore,4.0,Medium,Medium,Anytime,Yes,"mall, branded, luxury, premium"
89,Car Street Shopping Area ,Mall,Mangalore,4.0,High,Medium,Anytime,Yes,"mall, branded, luxury, premium"
90,Hampankata Shopping Area ,Mall,Mangalore,3.9,Medium,Medium,Anytime,Yes,"mall, gaming, entertainment, fun"
91,Falnir Shopping Complex,Mall,Mangalore,3.0,Medium,Medium,Anytime,Yes,"mall, cinema, movies, fun"
92,Balmatta Commercial Complex,Mall,Mangalore,3.2,Medium,Medium,Anytime,Yes,"mall, food_court, dining, variety"
93,Pandeshwar Shopping Area ,Mall,Mangalore,3.1,Low,Medium,Anytime,Yes,"mall, branded, luxury, premium"
94,Bejai Shopping Complex ,Mall,Mangalore,3.5,Low,Medium,Anytime,Yes,"mall, crowded, popular, busy"
95,Surathkal Market,Mall,Mangalore,3.5,Medium,High,Anytime,Yes,"mall, gaming, entertainment, fun"
96,Ullal Market Complex ,Mall,Mangalore,4.0,Medium,High,Anytime,Yes,"mall, food_court, dining, variety"
97,Kulai Shopping Area ,Mall,Mangalore,3.6,Medium,Medium,Anytime,Yes,"mall, fashion, trendy, shopping"
98,Bondel Commercial Area ,Mall,Mangalore,3.0,Low,Medium,Anytime,Yes,"mall, cinema, movies, fun"
99,Lalbagh Market Area ,Mall,Mangalore,3.5,High,High,Anytime,Yes,"mall, branded, luxury, premium"
100,Kadri Commercial Complex ,Mall,Mangalore,4.0,Medium,High,Anytime,Yes,"mall, family, outing, weekend"
101,Diesel Cafe,Cafe,Mangalore,3.5,Low,Low,Anytime,Yes,"cafe, music, fun, lively"
102,Coffee Break,Cafe,Mangalore,3.7,Medium,Medium,Anytime,Yes,"cafe, student, affordable, hangout"
103,Buco Cafe,Cafe,Mangalore,4.0,Medium,Low,Anytime,Yes,"cafe, coffee, hangout, friends"
104,Brick House Cafe,Cafe,Mangalore,3.9,Medium,Medium,Anytime,Yes,"cafe, music, fun, lively"
105,Froth on Top,Cafe,Mangalore,3.8,High,Low,Anytime,Yes,"cafe, outdoor, scenic, view"
106,The Good Galette,Cafe,Mangalore,4.0,Medium,Medium,Anytime,Yes,"cafe, music, fun, lively"
107,Cafe Flourista,Cafe,Mangalore,4.6,High,Medium,Anytime,Yes,"cafe, cozy, quiet, relaxing"
108,Cafe 17,Cafe,Mangalore,4.5,Low,Medium,Anytime,Yes,"cafe, crowded, popular, trendy"
109,Mangalore Baking Company,Cafe,Mangalore,4.8,Medium,Medium,Anytime,Yes,"cafe, budget, snacks, quick"
110,Cafe Mojo,Cafe,Mangalore,3.6,Low,Low,Anytime,Yes,"cafe, cozy, quiet, relaxing"
111,Cafe Coffee Day (multiple),Cafe,Mangalore,4.2,Medium,Medium,Anytime,Yes,"cafe, crowded, popular, trendy"
112,Barista Cafe,Cafe,Mangalore,4.5,Medium,Low,Anytime,Yes,"cafe, coffee, hangout, friends"
113,Starbucks Mangalore,Cafe,Mangalore,4.5,High,Medium,Anytime,Yes,"cafe, student, affordable, hangout"
114,Cafe Coffee Day Kankanady,Cafe,Mangalore,3.8,Medium,High,Anytime,Yes,"cafe, peaceful, calm, work"
115,Cafe Coffee Day Hampankata,Cafe,Mangalore,3.5,Medium,High,Anytime,Yes,"cafe, peaceful, calm, work"
116,Little Green Cafe,Cafe,Mangalore,4.0,Medium,Low,Anytime,Yes,"cafe, crowded, popular, trendy"
117,Juice Junction Cafe,Cafe,Mangalore,4.1,Low,High,Anytime,Yes,"cafe, modern, stylish, ambience"
118,Urban House Cafe,Cafe,Mangalore,4.2,Low,Medium,Anytime,Yes,"cafe, crowded, popular, trendy"
119,Chai Point Mangalore,Cafe,Mangalore,4.0,Medium,Medium,Anytime,Yes,"cafe, cozy, quiet, relaxing"
120,Tea Trails Cafe,Cafe,Mangalore,4.4,Medium,Low,Anytime,Yes,"cafe, romantic, couple, evening"
121,The Ocean Pearl,Hotel,Mangalore,4.8,High,Low,Anytime,Yes,"hotel, premium, luxury, experience"
122,Vivanta Mangalore,Hotel,Mangalore,4.5,Medium,medium,Anytime,Yes,"hotel, luxury, premium, service"
123,AJ Grand Hotel,Hotel,Mangalore,4.6,High,Low,Anytime,Yes,"hotel, modern, stylish, ambience"
124,Goldfinch Hotel,Hotel,Mangalore,4.0,High,Low,Anytime,Yes,"hotel, city_view, central, access"
125,Hotel MotiMahal,Hotel,Mangalore,4.0,Medium,Medium,Anytime,Yes,"hotel, family, safe, comfortable"
126,Hotel Deepa Comforts,Hotel,Mangalore,4.2,Medium,Medium,Anytime,Yes,"hotel, beach_view, scenic, relaxing"
127,Hotel Prestige,Hotel,Mangalore,4.2,Medium,Medium,Anytime,Yes,"hotel, quiet, peaceful, stay"
128,Hotel Surya,Hotel,Mangalore,4.1,Medium,Medium,Anytime,Yes,"hotel, business, professional, stay"
129,Hotel Poonja International,Hotel,Mangalore,4.6,Medium,Medium,Anytime,Yes,"hotel, luxury, premium, service"
130,Hotel Srinivas,Hotel,Mangalore,3.9,Medium,High,Anytime,Yes,"hotel, local, budget, simple"
131,Hotel Kumars International,Hotel,Mangalore,4.1,High,Medium,Anytime,Yes,"hotel, family, safe, comfortable"
132,Hotel Maurya,Hotel,Mangalore,3.5,Medium,Medium,Anytime,Yes,"hotel, clean, hygiene, safe"
133,Hotel Woodside,Hotel,Mangalore,4.8,High,Low,Anytime,Yes,"hotel, stay, comfort, relaxing"
134,Hotel Plaza,Hotel,Mangalore,3.5,Medium,Medium,Anytime,Yes,"hotel, modern, stylish, ambience"
135,Hotel Citywalk Residency,Hotel,Mangalore,4.7,High,Low,Anytime,Yes,"hotel, premium, luxury, experience"
136,Hotel Metro Plaza,Hotel,Mangalore,4.8,High,Low,Anytime,Yes,"hotel, business, professional, stay"
137,Hotel Naveen,Hotel,Mangalore,3.7,Medium,Medium,Anytime,Yes,"hotel, quiet, peaceful, stay"
138,Hotel Shoolin Grand,Hotel,Mangalore,4.7,Medium,Medium,Anytime,Yes,"hotel, beach_view, scenic, relaxing"
139,Hotel Sai Palace,Hotel,Mangalore,4.9,High,Low,Anytime,Yes,"hotel, modern, stylish, ambience"
140,Hotel Crown Residency,Hotel,Mangalore,5.0,High,Low,Anytime,Yes,"hotel, premium, luxury, experience"
141,Sultan Battery,Tourist Place ,Mangalore,4.5,Medium,Medium,"Morning,Evening",Yes,"tourist, sunrise, morning, view"
142,St. Aloysius Chapel,Tourist Place ,Mangalore,4.0,Medium,Medium,"Morning,Evening",Yes,"tourist, quiet, peaceful, calm"
143,Bejai Museum,Tourist Place ,Mangalore,4.8,Medium,Low,"Morning,Evening",Yes,"tourist, sunrise, morning, view"
144,Pilikula Heritage Village,Tourist Place ,Mangalore,4.9,Low,Low,"Morning,Evening",Yes,"tourist, crowded, famous, busy"
145,Old Port Mangalore,Tourist Place ,Mangalore,3.5,Medium,Low,"Morning,Evening",Yes,"tourist, scenic, nature, view"
146,Kadri Hills,Tourist Place ,Mangalore,4.6,Medium,Medium,"Morning,Evening",Yes,"tourist, sightseeing, popular, travel"
147,Light House Hill,Tourist Place ,Mangalore,3.8,Low,Low,"Morning,Evening",Yes,"tourist, sightseeing, popular, travel"
148,Tannirbhavi Tree Park View,Tourist Place ,Mangalore,4.8,Low,Medium,"Morning,Evening",Yes,"tourist, scenic, nature, view"
149,Surathkal Lighthouse,Tourist Place ,Mangalore,3.9,Low,Low,"Morning,Evening",Yes,"tourist, sunrise, morning, view"
150,Kaup Lighthouse,Tourist Place ,Mangalore,4.0,Low,Low,"Morning,Evening",Yes,"tourist, crowded, famous, busy"
151,Ullal Dargah,Tourist Place ,Mangalore,4.9,Low,High,"Morning,Evening",Yes,"tourist, historic, heritage, culture"
152,Rosario Cathedral,Tourist Place ,Mangalore,4.9,Low,Medium,"Morning,Evening",Yes,"tourist, historic, heritage, culture"
153,Milagres Church,Tourist Place ,Mangalore,4.5,Low,High,"Morning,Evening",Yes,"tourist, sunset, evening, scenic"
154,Infant Jesus Shrine,Tourist Place ,Mangalore,4.6,Low,High,"Morning,Evening",Yes,"tourist, sunrise, morning, view"
155,Mangala Stadium,Tourist Place ,Mangalore,4.7,Medium,High,"Morning,Evening",Yes,"tourist, scenic, nature, view"
156,NITK Campus View,Tourist Place ,Mangalore,5.0,Medium,Medium,"Morning,Evening",Yes,"tourist, crowded, famous, busy"
157,Pilikula Golf Course,Tourist Place ,Mangalore,5.0,Medium,Medium,"Morning,Evening",Yes,"tourist, budget, simple, visit"
158,Shree Gokarnanatheshwara Temple Area,Tourist Place ,Mangalore,4.8,Medium,High,"Morning,Evening",Yes,"tourist, crowded, famous, busy"
159,Panambur Port Area,Tourist Place ,Mangalore,3.8,Low,Low,"Morning,Evening",Yes,"tourist, sunrise, morning, view"
160,New Mangalore Port,Tourist Place ,Mangalore,3.7,Low,Low,"Morning,Evening",Yes,"tourist, family, outing, travel"
161,PVR Cinemas,Entertainment,Mangalore,4.5,Medium,Medium,Anytime,Yes,"entertainment, fun, games, activities"
162,Cinepolis Forum Mall,Entertainment,Mangalore,4.6,Medium,Medium,Anytime,Yes,"entertainment, crowded, popular, busy"
163,Bharath Cinemas,Entertainment,Mangalore,4.5,Medium,Medium,Anytime,Yes,"entertainment, night, fun, lively"
164,INOX,Entertainment,Mangalore,4.0,Medium,Medium,Anytime,Yes,"entertainment, crowded, popular, busy"
165,Game Zone City Centre,Entertainment,Mangalore,3.9,High,Medium,Anytime,Yes,"entertainment, adventure, thrill, exciting"
166,Fun City Mall,Entertainment,Mangalore,3.5,High,Medium,Anytime,Yes,"entertainment, group, friends, fun"
167,Timezone Gaming,Entertainment,Mangalore,4.2,High,Medium,Anytime,Yes,"entertainment, crowded, popular, busy"
168,Bowling Arena (Mall),Entertainment,Mangalore,4.1,High,Medium,Anytime,Yes,"entertainment, budget, affordable, fun"
169,VR Gaming Zone,Entertainment,Mangalore,4.0,High,Medium,Anytime,Yes,"entertainment, group, friends, fun"
170,Kids Play Zone Forum Mall,Entertainment,Mangalore,5.0,High,Medium,Anytime,Yes,"entertainment, night, fun, lively"
171,Snow World,Entertainment,Mangalore,5.0,High,Medium,Anytime,Yes,"entertainment, budget, affordable, fun"
172,Water Games Panambur,Entertainment,Mangalore,5.0,Medium,High,Anytime,Yes,"entertainment, night, fun, lively"
173,Beach Water Sports Panambur,Entertainment,Mangalore,5.0,High,High,Anytime,Yes,"entertainment, budget, affordable, fun"
174,Surfing Sasihithlu,Entertainment,Mangalore,5.0,Medium,Medium,Anytime,Yes,"entertainment, outdoor, activities, fun"
175,Pilikula Boating,Entertainment,Mangalore,4.9,Medium,Medium,Anytime,Yes,"entertainment, budget, affordable, fun"
176,Kayaking Mulki ,Entertainment,Mangalore,4.9,Medium,Medium,Anytime,Yes,"entertainment, premium, luxury, fun"
177,Adventure Club Mangalore,Entertainment,Mangalore,4.7,Medium,High,Anytime,Yes,"entertainment, kids, play, fun"
178,Cycling Track Pilikula,Entertainment,Mangalore,4.3,Low,Low,Anytime,Yes,"entertainment, premium, luxury, fun"
179,Go Karting Track (local),Entertainment,Mangalore,4.4,Medium,Low,Anytime,Yes,"entertainment, family, outing, fun"
180,Event Grounds TMA Pai Hall,Entertainment,Mangalore,4.0,High,Medium,Anytime,Yes,"entertainment, family, outing, fun"
181,Mangalore Central Railway Station,Landmark,Mangalore,4.8,Low,High,Anytime,Yes,"landmark, architecture, design, structure"
182,Mangalore Junction Railway Station,Landmark,Mangalore,4.8,Low,High,Anytime,Yes,"landmark, local, known, place"
183,KSRTC Bus Stand,Landmark,Mangalore,4.0,Low,High,Anytime,Yes,"landmark, architecture, design, structure"
184,State Bank Area,Landmark,Mangalore,5.0,Low,High,Anytime,Yes,"landmark, popular, tourist, spot"
185,Hampankatta Junction,Landmark,Mangalore,4.8,Low,High,Anytime,Yes,"landmark, symbolic, important, city"
186,Kankanady Junction,Landmark,Mangalore,4.5,Low,High,Anytime,Yes,"landmark, central, accessible, location"
187,Lalbagh Junction,Landmark,Mangalore,4.3,Low,High,Anytime,Yes,"landmark, famous, historic, attraction"
188,Bejai Junction,Landmark,Mangalore,4.2,Low,High,Anytime,Yes,"landmark, crowded, busy, famous"
189,Surathkal Junction,Landmark,Mangalore,4.0,Low,High,Anytime,Yes,"landmark, iconic, city, identity"
190,Ullal Bridge Area,Landmark,Mangalore,3.9,Low,High,Anytime,Yes,"landmark, famous, historic, attraction"
191,Nanthoor Circle,Landmark,Mangalore,3.6,Low,High,Anytime,Yes,"landmark, famous, historic, attraction"
192,Pumpwell Circle,Landmark,Mangalore,3.8,Low,High,Anytime,Yes,"landmark, central, accessible, location"
193,Falnir Junction,Landmark,Mangalore,3.9,Low,High,Anytime,Yes,"landmark, modern, city, development"
194,Kadri Circle,Landmark,Mangalore,4.0,Low,High,Anytime,Yes,"landmark, architecture, design, structure"
195,Bondel Junction,Landmark,Mangalore,4.0,Low,High,Anytime,Yes,"landmark, popular, tourist, spot"
196,Kuloor Bridge,Landmark,Mangalore,3.5,Low,High,Anytime,Yes,"landmark, heritage, culture, history"
197,Baikampady Industrial Area,Landmark,Mangalore,4.0,Low,High,Anytime,Yes,"landmark, crowded, busy, famous"
198,New Mangalore Port Gate,Landmark,Mangalore,3.9,Low,High,Anytime,Yes,"landmark, symbolic, important, city"
199,Mangalore Airport,Landmark,Mangalore,5.0,Low,High,Anytime,Yes,"landmark, local, known, place"
200,City Clock Tower,Landmark,Mangalore,4.5,Low,High,Anytime,Yes,"landmark, iconic, city, identity"
